"Race","Sex","Age.Group","Years","Deaths","Population","qx","lx","dx","ax","Lx","ex"
"Black","Females","<1",1,217,21316,0.01009,100000,1009,0.15,99143,77.3
"Black","Females","1-4",4,33,83960,0.00157,98991,155,1.65,395599,77.08
"Black","Females","5-9",5,22,108445,0.00101,98836,100,2.25,493903,73.2
"Black","Females","10-14",5,18,114585,0.00079,98736,78,3.05,493526,68.27
"Black","Females","15-19",5,35,118704,0.00147,98658,145,2.75,492963,63.32
"Black","Females","20-24",5,70,122022,0.00286,98513,282,2.55,491872,58.41
"Black","Females","25-29",5,101,109829,0.00459,98231,451,2.5,490026,53.57
"Black","Females","30-34",5,151,117222,0.00642,97780,628,2.55,487361,48.81
"Black","Females","35-39",5,172,111172,0.00771,97152,749,2.65,484001,44.11
"Black","Females","40-44",5,272,114173,0.01184,96403,1142,2.7,479392,39.43
"Black","Females","45-49",5,394,110855,0.01761,95262,1678,2.7,472450,34.87
"Black","Females","50-54",5,651,111727,0.02872,93584,2687,2.65,461605,30.45
"Black","Females","55-59",5,829,99179,0.04094,90897,3721,2.65,445739,26.27
"Black","Females","60-64",5,964,77663,0.0602,87176,5248,2.65,423546,22.28
"Black","Females","65-69",5,919,53384,0.08252,81928,6761,2.6,393414,18.54
"Black","Females","70-74",5,947,36186,0.12282,75167,9232,2.6,353679,14.97
"Black","Females","75+",25,4483,62458,1,65935,65935,11.7,771443,11.7
"Black","Males","<1",1,307,22224,0.01357,100000,1357,0.15,98847,71.76
"Black","Males","1-4",4,47,86490,0.00217,98643,214,1.65,394069,71.74
"Black","Males","5-9",5,30,111799,0.00134,98429,132,2.25,491781,67.89
"Black","Males","10-14",5,27,120400,0.00112,98297,110,3.05,491269,62.98
"Black","Males","15-19",5,104,125361,0.00414,98187,406,2.75,490019,58.05
"Black","Males","20-24",5,193,124831,0.0077,97780,753,2.55,487057,53.28
"Black","Males","25-29",5,232,106789,0.0108,97027,1048,2.5,482516,48.67
"Black","Males","30-34",5,273,107462,0.01262,95979,1211,2.55,476927,44.18
"Black","Males","35-39",5,281,99145,0.01407,94768,1334,2.65,470704,39.71
"Black","Males","40-44",5,347,103693,0.01659,93434,1550,2.7,463604,35.24
"Black","Males","45-49",5,537,101952,0.02599,91884,2388,2.7,453925,30.79
"Black","Males","50-54",5,796,102514,0.03808,89495,3408,2.65,439467,26.54
"Black","Males","55-59",5,1139,88773,0.06216,86087,5351,2.65,417860,22.48
"Black","Males","60-64",5,1296,65362,0.09446,80736,7626,2.65,385758,18.8
"Black","Males","65-69",5,1150,42933,0.12552,73110,9177,2.6,343524,15.48
"Black","Males","70-74",5,1083,26963,0.1825,63933,11668,2.6,291660,12.33
"Black","Males","75+",25,3020,34613,1,52265,52265,9.5,496515,9.5
"Hispanic","Females","<1",1,452,95602,0.00498,100000,498,0.15,99577,81.87
"Hispanic","Females","1-4",4,75,376971,8e-04,99502,79,1.65,397823,81.28
"Hispanic","Females","5-9",5,39,477637,0.00041,99423,41,2.25,497004,77.34
"Hispanic","Females","10-14",5,59,478869,0.00062,99383,61,3.05,496794,72.37
"Hispanic","Females","15-19",5,117,444707,0.00131,99321,131,2.75,496313,67.41
"Hispanic","Females","20-24",5,143,416763,0.00171,99191,170,2.55,495538,62.5
"Hispanic","Females","25-29",5,150,389716,0.00192,99021,190,2.5,494628,57.6
"Hispanic","Females","30-34",5,209,395945,0.00264,98830,260,2.55,493514,52.71
"Hispanic","Females","35-39",5,257,373506,0.00343,98570,339,2.65,492054,47.84
"Hispanic","Females","40-44",5,401,355312,0.00563,98231,553,2.7,489886,43
"Hispanic","Females","45-49",5,579,303499,0.00949,97679,927,2.7,486260,38.23
"Hispanic","Females","50-54",5,732,265979,0.01367,96751,1322,2.65,480649,33.57
"Hispanic","Females","55-59",5,959,219334,0.02163,95429,2064,2.65,472296,28.99
"Hispanic","Females","60-64",5,1117,168537,0.0326,93365,3044,2.65,459675,24.58
"Hispanic","Females","65-69",5,1288,126521,0.04964,90322,4483,2.6,440849,20.32
"Hispanic","Females","70-74",5,1293,86459,0.07208,85839,6187,2.6,414343,16.24
"Hispanic","Females","75+",25,8656,150364,1,79651,79651,12.3,979711,12.3
"Hispanic","Males","<1",1,519,99449,0.00549,100000,549,0.15,99533,76.98
"Hispanic","Males","1-4",4,103,391099,0.00105,99451,105,1.65,397558,76.4
"Hispanic","Males","5-9",5,69,497640,0.00069,99346,69,2.25,496542,72.48
"Hispanic","Males","10-14",5,68,501657,0.00068,99277,67,3.05,496256,67.53
"Hispanic","Males","15-19",5,258,474184,0.00272,99210,270,2.75,495444,62.58
"Hispanic","Males","20-24",5,442,462362,0.00477,98941,472,2.55,493547,57.74
"Hispanic","Males","25-29",5,434,434936,0.00498,98469,490,2.5,491119,53
"Hispanic","Males","30-34",5,483,414327,0.00581,97979,569,2.55,488499,48.26
"Hispanic","Males","35-39",5,507,378109,0.00668,97409,651,2.65,485517,43.52
"Hispanic","Males","40-44",5,692,347996,0.00989,96758,957,2.7,481590,38.8
"Hispanic","Males","45-49",5,983,304657,0.016,95801,1533,2.7,475479,34.16
"Hispanic","Males","50-54",5,1466,265601,0.02722,94268,2566,2.65,465309,29.67
"Hispanic","Males","55-59",5,1632,209095,0.03828,91702,3510,2.65,450260,25.43
"Hispanic","Males","60-64",5,1794,153765,0.05668,88192,4999,2.65,429211,21.33
"Hispanic","Males","65-69",5,1879,109717,0.08211,83193,6831,2.6,399568,17.46
"Hispanic","Males","70-74",5,1770,69759,0.1193,76361,9110,2.6,359944,13.78
"Hispanic","Males","75+",25,6596,100339,1,67252,67252,10.3,692692,10.3
"White","Females","<1",1,323,77728,0.00421,100000,421,0.15,99642,80.54
"White","Females","1-4",4,78,292577,0.00107,99579,106,1.65,398065,79.88
"White","Females","5-9",5,35,371210,0.00047,99473,47,2.25,497234,75.97
"White","Females","10-14",5,46,379053,0.00061,99426,60,3.05,497011,71
"White","Females","15-19",5,123,382402,0.00161,99365,160,2.75,496468,66.04
"White","Females","20-24",5,207,389302,0.00266,99206,263,2.55,495383,61.15
"White","Females","25-29",5,241,417049,0.00289,98942,285,2.5,493998,56.3
"White","Females","30-34",5,352,436546,0.00402,98657,397,2.55,492312,51.46
"White","Females","35-39",5,453,407349,0.00554,98260,545,2.65,490019,46.66
"White","Females","40-44",5,697,443809,0.00782,97715,764,2.7,486817,41.9
"White","Females","45-49",5,1152,440944,0.01298,96951,1258,2.7,481860,37.21
"White","Females","50-54",5,1975,505649,0.01934,95692,1851,2.65,474113,32.66
"White","Females","55-59",5,2799,493134,0.02798,93842,2626,2.65,463038,28.26
"White","Females","60-64",5,3404,431314,0.0387,91216,3530,2.65,447784,23.99
"White","Females","65-69",5,4373,360495,0.05887,87686,5162,2.6,426042,19.85
"White","Females","70-74",5,5164,264289,0.09315,82524,7687,2.6,394172,15.93
"White","Females","75+",25,38329,516394,1,74837,74837,12.3,920499,12.3
"White","Males","<1",1,435,81154,0.00537,100000,537,0.15,99543,75.87
"White","Males","1-4",4,95,306075,0.00124,99463,123,1.65,397561,75.28
"White","Males","5-9",5,52,389860,0.00067,99339,66,2.25,496514,71.37
"White","Males","10-14",5,56,398773,7e-04,99273,70,3.05,496230,66.42
"White","Males","15-19",5,258,403404,0.00319,99203,317,2.75,495304,61.46
"White","Males","20-24",5,553,411271,0.0067,98887,663,2.55,492810,56.65
"White","Males","25-29",5,607,424087,0.00713,98224,700,2.5,489369,52.02
"White","Males","30-34",5,603,436657,0.00688,97524,671,2.55,485974,47.37
"White","Males","35-39",5,683,403942,0.00842,96853,815,2.65,482347,42.68
"White","Males","40-44",5,1072,442671,0.01204,96037,1156,2.7,477528,38.02
"White","Males","45-49",5,1679,440150,0.01889,94881,1793,2.7,470284,33.45
"White","Males","50-54",5,3109,495815,0.03087,93089,2874,2.65,458691,29.05
"White","Males","55-59",5,4638,476271,0.04753,90215,4288,2.65,440999,24.89
"White","Males","60-64",5,5287,406359,0.063,85927,5414,2.65,416913,21
"White","Males","65-69",5,6181,336892,0.08771,80513,7062,2.6,385618,17.23
"White","Males","70-74",5,6657,237340,0.13105,73451,9626,2.6,344154,13.64
"White","Males","75+",25,29420,363631,1,63825,63825,10.3,657401,10.3
