"","Age","pr_Death","nLives","LE","Sex"
"1",0,0.006569,100000,76.18,"M"
"2",1,0.000444,99343,75.69,"M"
"3",2,0.000291,99299,74.72,"M"
"4",3,0.000226,99270,73.74,"M"
"5",4,0.000173,99248,72.76,"M"
"6",5,0.000158,99230,71.77,"M"
"7",6,0.000147,99215,70.78,"M"
"8",7,0.000136,99200,69.79,"M"
"9",8,0.000121,99187,68.8,"M"
"10",9,0.000104,99175,67.81,"M"
"11",10,9.2e-05,99164,66.82,"M"
"12",11,9.7e-05,99155,65.82,"M"
"13",12,0.000134,99146,64.83,"M"
"14",13,0.00021,99132,63.84,"M"
"15",14,0.000317,99112,62.85,"M"
"16",15,0.000433,99080,61.87,"M"
"17",16,0.000547,99037,60.9,"M"
"18",17,0.000672,98983,59.93,"M"
"19",18,0.000805,98917,58.97,"M"
"20",19,0.000941,98837,58.02,"M"
"21",20,0.001084,98744,57.07,"M"
"22",21,0.001219,98637,56.13,"M"
"23",22,0.001314,98517,55.2,"M"
"24",23,0.001357,98387,54.27,"M"
"25",24,0.001362,98254,53.35,"M"
"26",25,0.001353,98120,52.42,"M"
"27",26,0.00135,97987,51.49,"M"
"28",27,0.001353,97855,50.56,"M"
"29",28,0.001371,97722,49.63,"M"
"30",29,0.001399,97588,48.69,"M"
"31",30,0.001432,97452,47.76,"M"
"32",31,0.001464,97312,46.83,"M"
"33",32,0.001497,97170,45.9,"M"
"34",33,0.00153,97024,44.96,"M"
"35",34,0.001568,96876,44.03,"M"
"36",35,0.001617,96724,43.1,"M"
"37",36,0.001682,96568,42.17,"M"
"38",37,0.001759,96405,41.24,"M"
"39",38,0.001852,96236,40.31,"M"
"40",39,0.001963,96057,39.39,"M"
"41",40,0.002092,95869,38.46,"M"
"42",41,0.002246,95668,37.54,"M"
"43",42,0.002436,95453,36.62,"M"
"44",43,0.002669,95221,35.71,"M"
"45",44,0.002942,94967,34.81,"M"
"46",45,0.003244,94687,33.91,"M"
"47",46,0.003571,94380,33.02,"M"
"48",47,0.003926,94043,32.13,"M"
"49",48,0.004309,93674,31.26,"M"
"50",49,0.004719,93270,30.39,"M"
"51",50,0.005156,92830,29.53,"M"
"52",51,0.005622,92352,28.68,"M"
"53",52,0.006121,91832,27.84,"M"
"54",53,0.006656,91270,27.01,"M"
"55",54,0.007222,90663,26.19,"M"
"56",55,0.007844,90008,25.38,"M"
"57",56,0.008493,89302,24.57,"M"
"58",57,0.009116,88544,23.78,"M"
"59",58,0.00969,87736,22.99,"M"
"60",59,0.010253,86886,22.21,"M"
"61",60,0.010872,85995,21.44,"M"
"62",61,0.011591,85060,20.67,"M"
"63",62,0.012403,84075,19.9,"M"
"64",63,0.013325,83032,19.15,"M"
"65",64,0.01437,81925,18.4,"M"
"66",65,0.015553,80748,17.66,"M"
"67",66,0.016878,79492,16.93,"M"
"68",67,0.018348,78151,16.21,"M"
"69",68,0.019969,76717,15.51,"M"
"70",69,0.021766,75185,14.81,"M"
"71",70,0.02384,73548,14.13,"M"
"72",71,0.026162,71795,13.47,"M"
"73",72,0.028625,69917,12.81,"M"
"74",73,0.031204,67915,12.18,"M"
"75",74,0.033997,65796,11.55,"M"
"76",75,0.0372,63559,10.94,"M"
"77",76,0.040898,61195,10.34,"M"
"78",77,0.04504,58692,9.76,"M"
"79",78,0.049664,56048,9.2,"M"
"80",79,0.054844,53265,8.66,"M"
"81",80,0.060801,50344,8.13,"M"
"82",81,0.067509,47283,7.62,"M"
"83",82,0.074779,44091,7.14,"M"
"84",83,0.082589,40794,6.68,"M"
"85",84,0.091135,37424,6.23,"M"
"86",85,0.10068,34014,5.81,"M"
"87",86,0.111444,30589,5.4,"M"
"88",87,0.123571,27180,5.02,"M"
"89",88,0.137126,23822,4.65,"M"
"90",89,0.152092,20555,4.31,"M"
"91",90,0.168426,17429,4,"M"
"92",91,0.186063,14493,3.7,"M"
"93",92,0.204925,11797,3.44,"M"
"94",93,0.224931,9379,3.19,"M"
"95",94,0.245995,7270,2.97,"M"
"96",95,0.266884,5481,2.78,"M"
"97",96,0.287218,4018,2.61,"M"
"98",97,0.306593,2864,2.46,"M"
"99",98,0.324599,1986,2.33,"M"
"100",99,0.340829,1341,2.21,"M"
"101",100,0.35787,884,2.09,"M"
"102",101,0.375764,568,1.98,"M"
"103",102,0.394552,354,1.88,"M"
"104",103,0.41428,215,1.77,"M"
